ACCT-001,"We could not find account %d in this EDM."
DLM_SERVICE-011,"We encountered an error retrieving the output profile with id %d. Try again. If this still doesn't work, contact Support."
DLM_SERVICE-012,"Sorry, we encountered an error while loading the currency vintage %s with the as-of date %s is invalid. Try again. If this still doesn't work, contact Support."
DOM-001,"Domain data not found for domain %s, tablespace %s, entity %s"
DOM-003,"Invalid format for entity path %s"
DOM-004,"Scalar domain data for domain %s, tablespace %s, entity %s found %d values"
DOM-005,"Invalid input data for the parameter : %s"
DOM-006,"Sorry, we're having some trouble on our end. Try again, and contact Support if this still does not work."
DOM-007,"Sorry, we encountered parsing error. Try different input for parameter: %s"
DOM-500,"Sorry, we encountered an error while retrieving domain names. Try again, and contact Support if this still does not work."
DOM-501,"Sorry, we encountered an error while retrieving tablespace names for domain %s. Try again, and contact Support if this still does not work."
DOM-502,"Sorry, we encountered an error while retrieving entity names for domain %s and tablespace %s. Try again, and contact Support if this still does not work."
DOM-503,"Sorry, we encountered an error while retrieving entity attributes for domain %s, tablespace %s, and entity %s. Try again, and contact Support if this still does not work."
DOM-504,"Sorry, we encountered an error while retrieving entity values for domain %s, tablespace %s, and entity %s. Try again, and contact Support if this still does not work."
DOM-505,"Sorry, we encountered an error while retrieving secondary modifiers for domain %s, tablespace %s, and entity %s. Try again, and contact Support if this still does not work."
DOM-506,"Sorry, we encountered an error while retrieving construction details for country %s, construction class scheme %s, and construction class %s. Try again, and contact Support if this still does not work."
DOM-507,"Sorry, we encountered an error while retrieving occupancy details for country %s, occupancy type scheme %s, and occupancy type %s. Try again, and contact Support if this still does not work."
DOM-508,"Sorry, we encountered an error while retrieving peril and loss type for coverage %s. Try again, and contact Support if this still does not work."
DOM-509,"Sorry, we encountered an error while retrieving hazards for domain %s, tablespace %s, and entity %s. Try again, and contact Support if this still does not work."
DOM-510,"Sorry, we encountered an error while retrieving country resolution values for country code: '%s', resolution type: '%s'. Try again, and contact Support if this still does not work."
DOM-511,"Sorry, we encountered an error while retrieving country line of business types for country code: '%s'. Try again, and contact Support if this still does not work."
DOM-512,"Sorry, we encountered an error while retrieving resolution column mappings. Try again, and contact Support if this still does not work."
DOM-513,"Sorry, there is a mismatch between country code: '%s' and resolution: '%s'."
DOM-514,"Sorry, we're having some trouble on our end. Try again, and contact Support if this still does not work."
DOM-515,"Sorry, we encountered an error while retrieving climate-conditioned-views for regionperil %s and enginetype %s. Try again, and contact Support if this still does not work."
DOM-516,"Sorry, we encountered an error while retrieving reference-rate-scheme for rate-scheme-id %d. Try again, and contact Support if this still does not work."
DOM-517,"Sorry, we encountered an error while retrieving analysis regions for peril %s. Try again, and contact Support at support@rms.comif this still does not work."
DOM-518,"Sorry, we can't find results for the entries you provided: domain: '%s', tablespace: '%s', entity: '%s'."
DS-001,"We did not locate the database %s. Check the database name."
DS-002,"Sorry, looks like you do not have access permission for the %s database."
DS-003,"The database cannot be empty. Enter a valid database name."
DS-004,"Job paused. The database server has reached the maximum number of stored databases. Delete one or more EDMs from this server to resume the job."
DS-401,"Invalid instance namespace: %s"
DS-402,"Invalid instance status: %s"
DS-403,"Specified server %s is not registered."
DS-404,"Unable to process MDF import into RDS database instances."
DS-405,"The selected server does not support MDF imports."
DS-406,"The selected server does not support BAK imports."
DS-407,"The requested database does not support MDF exports."
DS-408,"You cannot load (register) a database that's not a Data Bridge EDM."
DS-409,"You cannot export to an existing RDM database. This is only supported for Data Bridge."
DS-410,"RDM Database %s not found. You have tried to export to an RDM that doesn't exist. Check the database name and try again."
DS-411,"Database error due to missing table."
DS-500,"Sorry, we encountered an error trying to retrieve the database. Try again."
DS-501,"Sorry, we encountered an error while checking the access permissions for this database. Try again."
DS-502,"Database error occurred while validating data source %s"
DS-503,"Database error occurred while retrieving data source: %s for Account Id: %d"
DS-504,"Error occurred starting the database connection pool for data source: %s"
DS-505,"Error occurred stopping the database connection pool for data source: %s"
DS-506,"Database error occurred while creating data source: %s"
DS-507,"A database with the name %s already exists. Enter a different name."
DS-508,"Database error occurred while updating data source: '%s'"
DS-509,"Database error occurred while deleting data source: '%s'"
DS-510,"Database error occurred while creating backup for data source: '%s'"
DS-511,"Sorry, you tried something invalid. Enter a valid datastore operation."
DS-512,"You have reached the maximum number (%s) of EDMs allowed for your organization. Delete an EDM before you create or upload a new one."
DS-513,"Sorry, we encountered an error creating this database. Try again, and contact Support if this still does not work."
DS-514,"Sorry, this could be an error on our end. Try again, and contact Support if this still does not work."
DS-515,"Sorry, we encountered an error triggering this job. Something might be missing from the job input. Try again, and contact Support if this still does not work."
DS-516,"The database %s is being upgraded. Wait a few minutes and try again."
DS-517,"Sorry, we encountered an error trying to retrieve database information for tenant %s. Try again."
DS-519,"Sorry, we encountered an error reading database information. Try again, and contact Support if this still does not work."
DS-520,"Sorry, we encountered an error reading database system information. Try again, and contact Support if this still does not work."
DS-521,"Job paused. This job type is already running on the maximum number of databases. This job will automatically resume once the other jobs in the queue are complete."
EDM-501,"Database error occurred while loading EDMs"
EDM-502,"Database error occurred while creating EDM with name: %s"
EDM-505,"Database error occurred while creating EDM with name %s already exists"
EDM-506,"Database error occurred while creating a backup for EDM"
EDM-507,"Database error occurred while creating a backup for EDM not found"
EDM-508,"Failed to find the EDM"
EDM-509,"Database error occurred while querying for list of EDMs"
EDM-510,"Sorry, you do not have access permissions to any groups of tenant %s. Check with your Administrator about getting access."
EDM_SYNC-001,"Failed to sync with Analytics Gateway"
EDM_SYNC-002,"Failed to sync with Analytics Gateway, Response: %s"
EDM_SYNC-003,"Received an invalid message from Analytics Gateway, response status, msg: %d %s"
ENGINE-001,"We encountered an error trying to run the job. Try again. If this still does not work, contact Support."
ENGINE-002,"We encountered an error trying to run the job. Job inputs aren't valid"
ENGINE-003,"only CopyAccount, DeleteAccount or ConvertCurrency operation is supported"
ENGINE-004,"Record not found in import store database."
ENGINE-005,"Database with data source name : '%s', already exists"
ENGINE-006,"Tenant has exceeded maximum database limit : %s allowed."
ENGINE-007,"Data source %s not found"
ENGINE-008,"Database error occurred while creating backup for data source: '%s'"
ENGINE-009,"Database error occurred while deleting data source: '%s'"
ENGINE-010,"Database error occurred while creating data source: %s"
ENGINE-011,"Database error occurred while retrieving data source: %s"
ENGINE-012,"RDM database creation failed"
ENGINE-013,"Validations failed"
ENGINE-014,"We encountered an error trying to run the job. Try again. If this still does not work, contact Support."
ENGINE-015,"Unsupported Exposure Type: %s"
ENGINE-016,"%s backup status cannot be retrieved"
ENGINE-017,"%s back up cannot be created and failed with exception : %s"
ENGINE-018,"LI Job got canceled"
ENGINE-019,"MRI Job failed with validation errors. Please see jobs' details for validation log file."
ENGINE-020,"No job id found for analysis id : %s"
ENGINE-021,"No results are available for analysis %s included the download. Remove this analysis from the download and try again."
ENGINE-022,"DB name : %s, %s failed!"
ENGINE-023,"rdsHost cannot be null or empty"
ENGINE-024,"rdsPort cannot be null or empty"
ENGINE-025,"rdsUser cannot be null or empty"
ENGINE-026,"rdsPwd cannot be null or empty"
ENGINE-027,"s3AccessKey cannot be null or empty"
ENGINE-028,"s3Secret cannot be null or empty"
ENGINE-029,"dbRdmKey cannot be null or empty"
ENGINE-030,"s3bucket cannot be null or empty"
ENGINE-031,"s3DownLoadBucket cannot be null or empty"
ENGINE-032,"tenantId cannot be null or empty"
ENGINE-033,"analysisId cannot be null or empty"
ENGINE-034,"userId cannot be null or empty"
ENGINE-035,"workflowId cannot be null or empty"
ENGINE-036,"workflowServiceUrl cannot be null or empty"
ENGINE-037,"expirationHours cannot be null or empty"
ENGINE-038,"edmBucketName cannot be null or empty"
ENGINE-039,"BCP Batch size cannot be null or empty and must be numeric"
ENGINE-040,"BCP timeout cannot be null or empty and must be numeric"
ENGINE-041,"Detail losses export value cannot be null or empty and must be boolean"
ENGINE-042,"Could not find event rates with scheme id: %s"
ENGINE-043,"The request %s"
ENGINE-044,"Error when getting event rates: Datastore call failed"
ENGINE-045,"Error when getting event rates"
ENGINE-046,"Error when getting event rates: Unable to read the rate headers."
ENGINE-047,"LI-BULK: Geocoding job %s failed"
ENGINE-048,"server returned statusCode: %s"
ENGINE-049,"only CopyPortfolio, DeletePortfolio or ConvertCurrency operation is supported"
ENGINE-050,"Sorry, looks like something might be wrong at our end. Try this again, and if it still doesn't work, contact Support at support.rms.com."
ENGINE-051,"Template file does not exist"
ENGINE-052,"dlmJobId cannot be null or empty"
ENGINE-053,"authToken cannot be null or empty"
ENGINE-054,"serviceName cannot be null or empty"
ENGINE-055,"Exposure isn't valid. %s"
ENGINE-056,"SQL exception."
ENGINE-057,"HPC exception. %s"
ENGINE-058,"only ConvertCurrency operation is supported"
ENGINE-059,"Sorry, we were unable to upgrade this EDM. It could be an error on our end or a network connectivity issue. Try again, and if this still doesn't work, contact Support at support@rms.com."
ENGINE-060,"Exception occurred while copy account operation"
ENGINE-061,"Exception occurred while delete account operation"
ENGINE-062,"Exception occurred while convert currency operation"
ENGINE-063,"Database error occurred while calculating Portfolio and its accounts metrics"
ENGINE-064,"Database error occurred while calculating metrics for all Portfolios and Accounts in EDM"
ENGINE-065,"Detail stats export value cannot be null or empty and must be boolean"
ENGINE-066,"Error occurred while copying portfolio"
ENGINE-067,"Error occurred while deleting portfolio"
ENGINE-068,"Failed to get analytics details"
ENGINE-069,"Error when dropping database"
ENGINE-070,"Failed to Update DB Attribute table"
ENGINE-071,"Failed to make DB INFO entries for EDM"
ENGINE-072,"Failed to acquire position in task queue"
ENGINE-073,"Failed to create empty EDM: %s"
ENGINE-074,"Failed load parquet files from S3"
ENGINE-075,"Failed recreate RDM indices"
ENGINE-076,"Failed to update RDM seed IDs"
ENGINE-077,"Failed to create RDM backup"
ENGINE-078,"Failed to generate download link for RDM"
ENGINE-079,"Layer info parse failed"
ENGINE-081,"Failed to drop indicies during download RDM"
ENGINE-082,"Failed to delete webDb entries"
ENGINE-083,"Failed to update DBAttribute table with DSN entries"
ENGINE-084,"Failed to create webDb entries"
ENGINE-085,"Failed to create DbInfo entries"
ENGINE-086,"Failed to create db metrics entries"
ENGINE-087,"Failed to create groupDb detail entries"
ENGINE-088,"Failed to detach DataSource"
ENGINE-089,"Failed to get ImportSource"
ENGINE-090,"Failed to get taskID for restore process"
ENGINE-091,"Failed to upload EDM"
ENGINE-092,"Failed to update import source"
ENGINE-093,"Failed to delete groupDbDetail table"
ENGINE-094,"Failed to delete the dbInfo table"
ENGINE-095,"Failed to copy EDM"
ENGINE-096,"Failed to get EDM name from database"
ENGINE-097,"IO exception while attempting to get geohaz inputs"
ENGINE-098,"No job id found for analysis id %s"
ENGINE-099,"Load database connection properties error"
ENGINE-100,"Failed to retrieve analysis name"
ENGINE-101,"Failed while rebaselining the database"
ENGINE-102,"Failed to create DB type %s"
ENGINE-103,"Failed to initialize datasource"
ENGINE-104,"Invalid engine input"
ENGINE-105,"failed to read exposure from job input"
ENGINE-106,"Too many treaty priority numbers: %s > Max %s"
ENGINE-107,"Unable to save financial perspective"
ENGINE-108,"Unable to save treaties"
ENGINE-109,"Unable to load treaties"
ENGINE-110,"Unable to get analysis status"
ENGINE-111,"Unable to get analysisId for jobId: %s"
ENGINE-112,"Unable to get analysis for id: %s"
ENGINE-113,"Unable to get jobId for analysis ID: %s"
ENGINE-114,"Unable to copy analysis record for analysis Id: %s"
ENGINE-115,"Unable to get event loss"
ENGINE-116,"Unable to get treaty info"
ENGINE-117,"Unable to load event losses for perspective: %s"
ENGINE-118,"Unable to load losses for perspective:  %s"
ENGINE-119,"EP Type needed"
ENGINE-120,"Treaty information not set: %s"
ENGINE-121,"Analysis isn't of type EP. No EP calculation performed."
ENGINE-122,"no losses calculated."
ENGINE-123,"Severity Distribution has only one point. Unable to generate EP curves"
ENGINE-124,"Error in find FFT Highest Point"
ENGINE-125,"Unable to calculate treaty stats"
ENGINE-126,"No event losses found"
ENGINE-127,"Incomplete input! The statistics calculator was NOT set with an %s curve, needed to calculate the statistics. Perspective: %s"
ENGINE-128,"Incomplete input! The statistics calculator does not have %s statistics. Perspective: %s"
ENGINE-129,"Unable to calculate statistics"
ENGINE-130,"Unable to load financial perspective"
ENGINE-131,"EP losses calculation Failed"
ENGINE-132,"Unable to generate EP curves for treaty: %s"
ENGINE-133,"Unable to create group"
ENGINE-134,"Unable to add analysis events"
ENGINE-135,"Invalid analysis to add"
ENGINE-136,"Failed to delete results"
ENGINE-137,"Unable to write analysis event"
ENGINE-138,"Failed to delete group results"
ENGINE-139,"Failed to regroup treaties"
ENGINE-140,"Group already contains analysis"
ENGINE-141,"Group contains a circular hierarchy"
ENGINE-142,"Duplicate analysis ids"
ENGINE-143,"Regional grouping engine failed"
ENGINE-144,"Failed to get event id count"
ENGINE-145,"Failed to convert currency"
ENGINE-146,"Failed to get scheme count"
ENGINE-147,"Analysis or currency not found"
ENGINE-148,"Analysis region count not found"
ENGINE-149,"Failed to get Analysis count"
ENGINE-150,"Missing mapping for perspcode: %s"
ENGINE-151,"Missing mapping for analysis ID: %s"
ENGINE-152,"Unable to find %s in ExposureIDOrderTable"
ENGINE-153,"Unable to get group exposure list"
ENGINE-154,"Failed to group regional losses"
ENGINE-155,"AnalysisId %s is not in any group list"
ENGINE-156,"Failed to get group loss for perspective"
ENGINE-157,"Treaty %s not found in rdm pate edit list."
ENGINE-158,"Treaty loss calculation failed"
ENGINE-159,"Failed to get treaty: %s"
ENGINE-160,"Unsupported analysis mode: %s. Valid modes are Expected and Distributed"
ENGINE-161,"DLM parent analysis id was not set"
ENGINE-162,"S3 bucket for jobId:%s did not become consistent after %s ms"
ENGINE-163,"ALM analysis missing exposures"
ENGINE-164,"ALM analysis missing profiles"
ENGINE-165,"Sorry, it looks like something might be wrong at our end. The job failed to submit to HPC. Contact Support at support@rms.com for help resolving this issue."
ENGINE-166,"Failed to transform job to HPC"
ENGINE-167,"Failed S3 write"
ENGINE-168,"Unable to create database. DB Name conflict"
ENGINE-169,"Failed to create download link"
ENGINE-170,"Failed to create retention entry"
ENGINE-171,"Failed to create HPC job"
ENGINE-172,"Failed to create HPC task: %s"
ENGINE-173,"Failed to set up HPC ENV"
ENGINE-174,"S3 file read failed"
ENGINE-175,"Unable to get Rlaas Input"
ENGINE-176,"EDM creation failed"
ENGINE-177,"Invalid analysis id filter"
ENGINE-178,"Database quota exceeded.  Unable to create new databases while at or above quota."
ENGINE-179,"Sorry, it looks like something went wrong on our end. Try your analysis again. If this still doesn't work, contact Support."
ENGINE-180,"Error occurred during transforming the registration output"
ENGINE-181,"Exception occurred while bulk edit operation"
ENGINE-182,"Exception occurred while fetching metadata from results service"
ENGINE-183,"Exception occurred while querying results service"
ENGINE-184,"Exception occurred while fetching HD EP via results service : %s"
ENGINE-185,"Exception occurred while fetching HD Statistics via results service : %s"
ENGINE-186,"RL Geohaz job %s failed"
ENGINE-187,"Exception occurred while fetching HD non-EP results via results service : %s"
ENGINE-188,"Exception occurred while fetching HD PLT results via results service : %s"
ENGINE-189,"Invalid database store type"
ENGINE-191,"%s doesn't match %s. Failed to process the file."
ENGINE-192,"Failed to check if the uploaded DB corresponds with the DB Upload type operation. Please ensure the rmsver table exists."
ENGINE-193,"Exception occurred while downloading csv via results-service"
ENGINE-194,"Job cancelled"
ENGINE-195,"Job failed. %s"
ENGINE-197,"Job failed. Infrastructure issue"
ENGINE-198,"Failed to process GEOHAZ for given Exposure Criteria. %s"
ENGINE-199,"Failed to update the copy_edm_destination table for id. %s"
ENGINE-200,"Recreate indexes value cannot be null or empty and must be boolean"
ENGINE-201,"Failed to refresh analysis results status: %d. Try again, and contact Support at support@rms.com if this still doesn't work."
ENGINE-202,"Failed to refresh results for analysis. Try again, and contact Support at support@rms.com if this still doesn't work."
ENGINE-203,"Sorry, we encountered an error downloading this database. Try again, and contact Support at support@rms.com if this still doesn't work."
ENGINE-204,"Sorry, we encountered an error with this hazard retrieval. Try again, and contact Support at support@rms.com if this still doesn't work."
ENGINE-205,"Failed register result table, errorCode: %s error: %s"
ENGINE-206,"Job failed. Invalid engine input. Reason: %s"
ENGINE-207,"Failed to restore databases to Data Bridge server"
ENGINE-208,"Invalid DB key"
ENGINE-209,"Failed to track the status of rds task"
ENGINE-210,"DB name : %s, %s failed! Sorry, it looks like you tried to upload a database created with a SQL Server version we do not support. See "EDM and RDM Upload" in the Help Center for a list of supported SQL Server versions."
ENGINE-211,"Sorry, we encountered an error while downloading this database. Try again, and contact Support at support@rms.com if this still doesn't work."
ENGINE-212,"Sorry, we encountered an error migrating the data bridge EDM. Try again, and contact Support if this still doesn't work."
ENGINE-213,"Sorry, we encountered an unknown error trying to de-register this database. Try again, and contact Support if this still doesn't work."
ENGINE-214,"Sorry, we encountered an error deleting this aggregate portfolio. Try again, and contact Support at support@rms.com if this still doesn't work."
ENGINE-215,"Sorry, looks like this is an invalid operation for an aggregate portfolio."
ENGINE-216,"Sorry, we encountered an error importing this aggregate portfolio. Try again, and contact Support at support@rms.com if this still doesn't work."
ENGINE-217,"Sorry, we encountered an error copying this aggregate portfolio. Try again, and contact Support at support@rms.com if this still doesn't work."
ENGINE-218,"Looks like you didn't provide any files for import."
ENGINE-219,"Looks like there's something wrong with the input file format. Check that you're using a TXT or CSV file."
ENGINE-220,"Sorry, we encountered an error exporting this data. Try again, and contact Support at support@rms.com if this still doesn't work."
ENGINE-221,"Sorry, we encountered an error exporting this data. Try again, and contact Support at support@rms.com if this still doesn't work."
ENGINE-222,"Target RDM database %s does not exist"
ENGINE-224,"Sorry, we encountered an error while processing the input data for loss registration. Try again, and contact Support at support@rms.com if this still doesn't work."
ENGINE-225,"Sorry, we encountered an error while running this HD analysis. Try again, and contact Support at support@rms.com if this still doesn't work."
ENGINE-226,"Sorry, looks like there's not enough space. Delete some databases from your local storage or Data Bridge server and try again"
ENGINE-227,"Sorry, the %s %s failed to upload. The BAK file might not be a valid SQL backup file or might be corrupted. Recreate the BAK file with a supported SQL version and try the upload again. See "EDM and RDM Upload" in the Help Center for a list of supported SQL Server versions."
ENGINE-228,"Failed to restore the %s %s from backup file."
ENGINE-229,"Sorry, the %1$s failed to upload because the %1$s version %2$d is not supported. Upgrade or downgrade the %1$s to a supported version and try the upload again. See "EDM and RDM Upload" in the Help Center for a list of supported %1$s versions."
ENGINE-230,"Sorry, the EDM failed to upload because the EDM version is missing. See "EDM and RDM Upload" in the Help Center for a list of supported EDM versions."
ENGINE-231,"Failed to read the valid EDM versions."
ENGINE-232,"Sorry, we encountered an error while geocoding. Try again, and contact Support at support@rms.com if this still doesn't work."
ENGINE-233,"Sorry, we encountered an error while running this Climate Change analysis. Try again, and contact Support at support@rms.com if this still doesn't work."
ENGINE-234,"No climate change scenario was found for this combination of inputs. Check your inputs and try again, or contact Support at support@rms.com if this still doesn't work."
ENGINE-235,"Sorry, we can't perform this operation because the database is read-only. We recommend changing source database to read-write then creating a backup and repeating the upload."
ENGINE-236,"Unrecognized engine version: %s"
ENGINE-237,"Failed table: %s error code: %s error message: %s"
ENGINE-238,"workflowId should not be null"
ENGINE-239,"Loss Transformations workflow failed with status %s. Workflow URL: %s"
ENGINE-240,"Sorry, we encountered an error while running this HD Grouping analysis. To resolve this issue, Contact Support at support@rms.com."
ENGINE-241,"Currency scheme must contain USD currency code."
ENGINE-242,"Sorry, the database backup failed. The database doesn't exist."
ENGINE-243,"Failed to restore the %s %s from backup file, as either the backup file is corrupt or the source database of the backup file is corrupt. Please check the source database and backup file and re-upload."
ENGINE-244,"Failed to truncate RDM table %s for write retry."
ENGINE-245,"Failed to delete duplicate RDM rate scheme entries before copying data."
ENGINE-246,"Sorry, we encountered an error on our end while converting currency. Contact Support at support@rms.com."
ENGINE-247,"Failed to send notification."
ENGINE-248,"Sorry, we encountered an error while running this Simulate Losses analysis. Try again, and contact Support at support@rms.com if this still doesn't work."
ENGINE-249,"Sorry, we encountered an error on our end while checking duplicate records. Contact Support at support@rms.com."
ENGINE-250,"Failed to upload rdm due to duplicate records found in %s. Try again, and contact Support at support@rms.com if this still doesn't work."
ENGINE-251,"Sorry, we failed to %s EDM with data source name : '%s' since it doesn't exist"
ENGINE-252,"Sorry, we encountered an error while running this HD ALM analysis. Try again, and contact Support at support@rms.com if this still doesn't work."
ENGINE-253,"Sorry, we encountered an error while running this HD PATE analysis. Try again, and contact Support at support@rms.com if this still doesn't work."
ENGINE-254,"Treaty ID %d is not valid for post-analysis treaty editing. You can add, edit or delete only group level treaties for an HD analysis."
ENGINE-255,"userName cannot be null or empty"
ENGINE-256,"You have entered an event rate scheme ID that does not have a corresponding simulation set. See the Simulation Set table in Risk Modeler Reference Data for a list of valid simulation sets."
ENGINE-257,"You have entered an invalid event rate scheme ID for the peril model region. See Event Rates in the Risk Modeler Model Composer for a list of valid IDs."
ENGINE-400,"Exposure failed to process. No valid locations for the peril region."
ENGINE-401,"Exposure failed to process. No valid location coverages for peril region."
ENGINE-402,"Exposure failed to process. Too many lines of business, limit is 255."
ENGINE-403,"Exposure failed to process. Exposure contains invalid currency."
ENGINE-404,"Exposure failed to process. Exposure item not found."
ENGINE-405,"Exposure failed to process. Try again, and contact Support if this still does not work."
ENGINE-406,"No results metadata found for analyis id %s"
ENT-001,"Sorry, this could be an error on our end. Try again, and contact Support at support@rms.com if this still doesn't work."
ENT-002,"Sorry, this could be an error on our end. Try again, and contact Support at support@rms.com if this still doesn't work."
ENT-003,"You cannot run this analysis because you do not have a current model license. Check with your Risk Intelligence administrator to find out which models are licensed by your organization."
ENT-004,"You cannot run an analysis on the following model(s) because you do not license them: Engine: %s, Peril: %s, Region: %s, Sub-region(s): %s. Check with your Risk Intelligence administrator to find out which models are licensed by your organization."
ENT-005,"You cannot run an analysis on the following model(s) because you do not license them: Engine: %s, Insurance Type: Workers Comp, Peril: %s, Region: %s, Sub-region(s): %s. Check with your Risk Intelligence administrator to find out which models are licensed by your organization."
ENT-006,"You cannot run an analysis on the following model(s) because you do not license them: Engine: %s, Peril: %s, Vulnerability Curves: Vulnerability Set 101, Region: %s, Sub-region(s): %s. Check with your Risk Intelligence administrator to find out which models are licensed by your organization."
ENT-007,"You cannot run an %s analysis on one or more of the countries you have selected because you do not license them. Check with your Risk Intelligence administrator to find out which ALM models you license."
ENT-008,"You cannot run a Climate Change Model analysis on the following model region(s) because you do not license them: Engine: %s, Peril: %s, Region: %s, Sub-region(s): %s. Check with your Risk Intelligence administrator to find out which models are licensed by your organization."
EVENTINFO-401,"Database error occurred, rate scheme does not exists"
EVENTINFO-502,"Database error occurred while saving rate scheme for database with Id: %d"
EXP-001,"Could not parse URL, reason %s"
EXP-500,"Database error occurred while updating time stamps for Exposure Type: %s, Exposure Id: %d"
EXP-501,"Exposure with database name : %s not found"
EXP-502,"Database error occurred while determining exposure name"
EXP-503,"Database error occurred while calculating number of locations"
EXP-504,"Database error occurred while saving exposure owner"
EXP-505,"Database error occurred while determining exposure number"
EXP-506,"Database error occurred while checking whether exposure has owner"
EXP-507,"Database error occurred while saving exposure audit history"
EXP-508,"Database error occurred while updating exposure metrics"
EXP-509,"Error occurred while fetching the HD results for analysis id %d"
EXP-510,"Active Database backup operation is in-progress for DB %s"
EXP-511,"Database error occurred while getting geocode summary"
EXP-512,"Database error occurred while getting hazard summary"
EXP-513,"Database error occurred while exporting portfolio"
EXP-514,"Database error occurred while exporting account"
EXP-515,"Database error occurred while updating exposure revision table"
EXP-516,"Database error occurred while calculating exposure workers compensation"
EXP-517,"Database error occurred while calculating number of policies"
EXPORT-001,"There was an unexpected issue that occurred while moving the EDMs."
EXPORT-002,"To export locations, policies, treaties, peril details, and/or reinsurance, you must also export accounts."
EXPORT-003,"To export reinsurance and/or peril details, you must also export locations."
EXPORT-004,"To export data to an EDM, you must specify the source EDM."
EXPORT-005,"To export data to an EDM, you must specify the destination EDM."
EXPORT-006,"The source EDM does not exist. Please choose a valid source EDM and try again."
EXPORT-007,"The destination EDM does not exist. Please choose a valid destination EDM and try again."
EXPORT-008,"To export data to an EDM, you must provide at least one exposure ID to export."
EXPORT-009,"Error occurred while downloading the results for id %d"
EXPORT-010,"The export format is missing. Specify the export format as CSV or PARQUET."
EXPORT-011,"The loss metrics, financial perspectives, output levels, and/or hazard/damage/uncertainty output are missing from this export. Include one or more of these selections and try again."
EXPORT-012,"The export format is invalid. Specify the export format as CSV or PARQUET."
EXPORT-013,"This export type is not supported because you are either exporting between Risk Modeler database and Data Bridge database, or between two different Data Bridge servers. You can either export from any Risk Modeler database to another Risk Modeler database, or export between same Data Bridge servers."
EXPORT-014,"Sorry, download to CSV or Parquet are not supported."
EXPORT-015,"Sorry, you cannot download intermediate output data to CSV or Parquet files. This output is only supported for HD non-EP analyses."
EXPORT-016,"Sorry, you cannot export location results for multiple analyses. Enter a single analysis ID to export."
EXPORT-017,"Sorry, the financial perspective(s) you requested are not supported. See 'Financial Perspectives' in the Help Center for perspectives that are supported for different analysis types."
EXPORT-018,"Sorry, the field(s) you requested are not supported for location results export. See 'Location Results Export' in the Help Center for the supported fields."
EXPORT-019,"Sorry, you must provide at least one financial perspective and one export field to export location results."
EXPORT-020,"Sorry, you can export location results only for account-level analyses."
EXPORT-021,"Sorry, you must provide at least one financial perspective to export location results from an uploaded RDM that is not associated with an uploaded EDM."
EXPORT-022,"Sorry, you must provide at least one export field to export location results for a non-EP analysis."
EXPORT-023,"Sorry, you cannot export location results for non-EP analyses from an uploaded RDM that is not associated with an uploaded EDM."
EXPORT-024,"Sorry, you cannot export location results for accounts that have more than 250,000 locations. Check the number of locations on the Accounts tab."
EXPORT-025,"Sorry, you cannot export location results analyses from multiple EDMs. Enter analysis ids from the same EDM to export."
EXPORT-026,"Sorry, you cannot export location results analyses from multiple accounts. Enter analysis ids from the same EDM and account to export."
EXPORT-027,"Sorry, you cannot export location results for more than one analyses from uploaded RDMs that are not associated with an EDM. Enter one analysis id from an uploaded RDMs that is not associated with an EDM or enter one or more analyses associated with an EDM."
EXPORT-028,"Export of a weighted PLT is available only for a single EP analysis for HD or HD-ALM earthquake models. To export the weighted PLT, you must also export loss table output with at least one financial perspective and at least one output level."
EXPORT-029,"The export input is invalid for received export type: %s. Please provide a valid input and try again."
EXPOSURE-001,"Exposure not found"
FAC-404,"%s"
FAC-406,"%s"
FAC-409,"%s"
FAC-500,"Database error occurred while retrieving fac layers"
FAC-501,"Database error occurred while creating facultative with name: %s"
FAC-502,"Database error occurred while checking for existing facultative"
FAC-503,"Database error occurred, facultative already exists"
FAC-504,"Database error occurred, facultative with id: %s not exists"
FAC-505,"Database error occurred, while retrieving facultatives"
FAC-506,"Database error occurred while updating facultative"
FAC-507,"Database error occurred while loading facultative with id: %s"
FAC-508,"A facultative cession with name: %s already exists. Use a different name."
FAC-509,"Validation error, facultative id cannot be null or empty."
FAC-510,"Validation error, facultative, some of the String field has exceeded allowed length."
FAC-511,"Database error occurred, facultative has relation to policy or location and cannot be %s"
FAC-512,"Database error occurred while checking if facultative has relation with policy or location"
FAC-513,"Database error occurred while deleting facultative with id: %s"
FILE-001,"Bucket %d does not exist"
FILE-002,"Unable to access bucket %d"
FILE-003,"File %s does not exist"
FILE-004,"Unable to access file %d"
FILE-005,"Not authorized to grant temporary credentials"
FILE-006,"S3 Object %s does not exist"
FILE-007,"Sorry, we're having trouble reading the import file. Check the file format and delimiter and try again."
FILE-009,"Sorry, looks there might be a problem on our end. Try saving again, and contact Support if this still does not work."
FILE-010,"The selected resolution requires a secondary resolution as well. This secondary resolution is missing from the import file."
FILE-011,"The selected resolution requires a secondary resolution as well. This secondary resolution is incorrect for the resolution in the import file."
FILE-014,"Sorry, we're having some trouble on our end. Try again, and contact Support if this still does not work."
FILE-015,"Sorry, we're having trouble with the column mapping in the import file and cannot complete the import."
FILE-016,"Sorry, we're having trouble with provided resolution. Please check the resolution, try again and contact Support if this still does not work."
